Nome,Nota,Data,Genêros,Material Fonte,Tipo,Número de episódios,Classificação,Posicionamento no ranking,Posicionamento de popularidade,Número de membros,Favoritos,Foto,Sinopse
Kaguya-sama wa Kokurasetai: Otona e no Kaidan,8.54,"Dec 31, 2025","['Comedy', 'Romance']",Manga,TV Special,1,PG-13 - Teens 13 or older,#142,#2394,"99,235",316,https://myanimelist.net/images/anime/1112/150697.jpg,"Years after graduating from high school, Kaguya Shinomiya finds her old photo album and reminisces about when she was a part of Shuuchiin Academy's student council. At the time, Kaguya had just started dating the president Miyuki Shirogane, and the two were hopelessly in love. With each wholesome and silly memory from their past, Kaguya is filled with bliss.

[Written by MAL Rewrite]"
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.54,"Oct 16, 2020","['Action', 'Supernatural']",Manga,Movie,1,R - 17+ (violence & profanity),#143,#64,"1,769,635","13,485",https://myanimelist.net/images/anime/1704/106947.jpg,"After a string of mysterious disappearances begin to plague a train, the Demon Slayer Corps' multiple attempts to remedy the problem prove fruitless. To prevent further casualties, the Flame Pillar, Kyoujurou Rengoku, takes it upon himself to eliminate the threat. Accompanying him are some of the Corps' most promising new blood: Tanjirou Kamado, Zenitsu Agatsuma, and Inosuke Hashibira, who all hope to witness the fiery feats of this model demon slayer firsthand.

Unbeknownst to them, the demonic forces responsible for the disappearances have already put their sinister plan in motion. Under this demonic presence, the group must muster every ounce of their willpower and draw their swords to save all two hundred passengers onboard. As things begin to spiral out of control, Tanjirou's resolve and commitment to duty are put to the test.

[Written by MAL Rewrite]"
Shingeki no Kyojin Season 2,8.54,"Apr 1, 2017 to Jun 17, 2017","['Action', 'Drama', 'Suspense']",Manga,TV,12,R - 17+ (violence & profanity),#144,#13,"3,007,295","23,012",https://myanimelist.net/images/anime/4/84177.jpg,"For centuries, humanity has been hunted by giant, mysterious predators known as the Titans. Three mighty walls—Wall Maria, Rose, and Sheena—provided peace and protection for humanity for over a hundred years. That peace, however, was shattered when the Colossal Titan and Armored Titan appeared and destroyed the outermost wall, Wall Maria. Forced to retreat behind Wall Rose, humanity waited with bated breath for the Titans to reappear and destroy their safe haven once more.

In Shingeki no Kyojin Season 2, Eren Yeager and others of the 104th Training Corps have just begun to become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose—but all is not as it seems as more mysteries are unraveled. As the Survey Corps races to save the wall, they uncover more about the invading Titans and the dark secrets of their own members.

[Written by MAL Rewrite]"
[Oshi no Ko],8.54,"Apr 12, 2023 to Jun 28, 2023","['Award Winning', 'Drama']",Manga,TV,11,PG-13 - Teens 13 or older,#145,#176,"1,041,352","31,359",https://myanimelist.net/images/anime/1812/134736.jpg,"In the entertainment world, celebrities often show exaggerated versions of themselves to the public, concealing their true thoughts and struggles beneath elaborate lies. Fans buy into these fabrications, showering their idols with undying love and support, until something breaks the illusion. Sixteen-year-old rising star Ai Hoshino of pop idol group B Komachi has the world captivated; however, when she announces a hiatus due to health concerns, the news causes many to become worried.

As a huge fan of Ai, gynecologist Gorou Amemiya cheers her on from his countryside medical practice, wishing he could meet her in person one day. His wish comes true when Ai shows up at his hospital—not sick, but pregnant with twins! While the doctor promises Ai to safely deliver her children, he wonders if this encounter with the idol will forever change the nature of his relationship with her.

[Written by MAL Rewrite]"
Fruits Basket 2nd Season,8.53,"Apr 7, 2020 to Sep 22, 2020","['Drama', 'Romance', 'Supernatural']",Manga,TV,25,PG-13 - Teens 13 or older,#146,#431,"582,490","6,464",https://myanimelist.net/images/anime/1972/111635.jpg,"A year has passed since Tooru Honda began living in the Souma residence, and she has since created stronger relationships with its inhabitants Shigure, Kyou, and Yuki. She has also grown closer to the rest of the Souma family and has become familiar with their ancestral secret, having helped them with many of their personal issues. The closer Tooru gets, however, the more she begins to realize that their secret holds a darker truth than she first presumed.

Summer is approaching and Tooru is invited to spend her days with the Soumas, mainly Kyou and Yuki. Tooru wishes for an easy-going vacation, but her close relationships with the two boys and the rest of the Soumas may prove to cause trouble. As they grow more intimate, their carefree time together is hindered by older hardships and feelings from the past that begin to resurface. The Eternal Banquet also dawns on the members of the zodiac, and they must tend to their duties alongside the unnerving head of the family, Akito Souma.

With the banquet approaching and a plethora of feelings to be solved, will Tooru's life with the Soumas remain peaceful, or will she find herself in a situation from which she cannot escape?

[Written by MAL Rewrite]"
Kaoru Hana wa Rin to Saku,8.53,"Jul 6, 2025 to Sep 28, 2025","['Drama', 'Romance']",Web manga,TV,13,PG-13 - Teens 13 or older,#147,#604,"439,948","8,427",https://myanimelist.net/images/anime/1744/150433.jpg,"The all-girls Kikyo Private Academy and Chidori Public High School are polar opposites. With its prestigious history, Kikyo is attended by noble young ladies from distinguished families, while Chidori is infamously full of simple-minded delinquents. It is no surprise that their students clash with their differences.

Having a tall stature and fierce appearance, Chidori student Rintarou Tsumugi is often avoided by others despite his gentle heart. One day, while helping out at his family's patisserie, he meets a customer who, after a brief moment, runs away from him. The next day, the customer returns to apologize to Rintarou, introducing herself as the cheerful Kaoruko Waguri.

After spending time with Kaoruko, Rintarou appreciates that she does not judge him based on his appearance and looks forward to when they will meet again. However, when Rintarou discovers Kaoruko attends Kikyo, their relationship will challenge the social expectations and dynamics around them.

[Written by MAL Rewrite]"
Mushishi: Hihamukage,8.53,"Jan 4, 2014","['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']",Manga,TV Special,1,PG-13 - Teens 13 or older,#148,#1737,"153,242",215,https://myanimelist.net/images/anime/1559/147521.jpg,"The entire countryside comes to a halt midday to witness a rare solar eclipse that is rumored to allow the average person to see Mushi. Unable to avert their gaze, the air is full of awe and wonder—but those who know the Mushi are preparing for the eclipse's aftermath.

Based on a prediction from Tanyuu Karibusa, the cursed recorder, Mushishi Ginko finds himself in a very unlucky farming village. Immediately following the solar eclipse, a strange black cloud begins to gather in the sky and blocks the sun once more. Suspecting it to be the work of a Mushi known as Hihami, Ginko seeks to liberate the village from perpetual darkness. However, it seems that not all of the villagers are eager to return to the light.

[Written by MAL Rewrite]"
Shoujo☆Kageki Revue Starlight Movie,8.53,"Jun 4, 2021",['Drama'],Original,Movie,1,PG-13 - Teens 13 or older,#149,#4931,"26,273","1,057",https://myanimelist.net/images/anime/1378/119190.jpg,"With the arrival of a new generation of talented girls, another lively year at Seishou Music Academy begins. The graduating 99th class is already preparing for the much-anticipated rendition of Starlight, a bittersweet story about the parting of two girls.

It seems like all students in the Actor Training Department have their post-graduation future figured out—except for the cheerful Karen Aijou. Having fulfilled her promise of performing in a play with Hikari Kagura, her ambitious childhood friend, Karen struggles to find her purpose. What lies beyond their promise is a mystery to Karen, as Hikari was the fuel that kept her passion for performing aflame. Now alone, Karen must confront the reality of stage girls and find her way toward the future—her very own stage.

[Written by MAL Rewrite]"
Zoku Natsume Yuujinchou,8.53,"Jan 6, 2009 to Mar 31, 2009","['Slice of Life', 'Supernatural']",Manga,TV,13,PG-13 - Teens 13 or older,#150,#1052,"266,472","1,504",https://myanimelist.net/images/anime/4/79738.jpg,"As with its prequel, Zoku Natsume Yuujinchou is about Takashi Natsume, a boy who has had the ability to see youkai since he was young, and his bodyguard youkai Madara, nicknamed Nyanko-sensei. Natsume attempts to return names written in his ""Book of Friends"" (which he inherited from his grandmother Reiko) to youkai in his village. Throughout these adventures, he meets some youkai that are friendly, some that want to steal the Book, and some that want to kill him, as Natsume learns about himself and his relationship with these mysterious beings along the way.

[Written by MAL Rewrite]"
Kaguya-sama wa Kokurasetai: Ultra Romantic,8.96,"Apr 9, 2022 to Jun 25, 2022","['Comedy', 'Romance']",Manga,TV,13,PG-13 - Teens 13 or older,#16,#165,"1,105,080","33,115",https://myanimelist.net/images/anime/1160/122627.jpg,"The elite members of Shuchiin Academy's student council continue their competitive day-to-day antics. Council president Miyuki Shirogane clashes daily against vice-president Kaguya Shinomiya, each fighting tooth and nail to trick the other into confessing their romantic love. Kaguya struggles within the strict confines of her wealthy, uptight family, rebelling against her cold default demeanor as she warms to Shirogane and the rest of her friends.

Meanwhile, council treasurer Yuu Ishigami suffers under the weight of his hopeless crush on Tsubame Koyasu, a popular upperclassman who helps to instill a new confidence in him. Miko Iino, the newest student council member, grows closer to the rule-breaking Ishigami while striving to overcome her own authoritarian moral code.

As love further blooms at Shuchiin Academy, the student council officers drag their outsider friends into increasingly comedic conflicts.

[Written by MAL Rewrite]"
Bakuman. 3rd Season,8.52,"Oct 6, 2012 to Mar 30, 2013","['Comedy', 'Drama', 'Romance']",Manga,TV,25,PG-13 - Teens 13 or older,#151,#789,"347,741","2,946",https://myanimelist.net/images/anime/6/41845.jpg,"Onto their third serialization, manga duo Moritaka Mashiro and Akito Takagi—also known by their pen name, Muto Ashirogi—are ever closer to their dream of an anime adaption. However, the real challenge is only just beginning: if they are unable to compete with the artist Eiji Niizuma in the rankings within the span of six months, they will be canceled. To top it off, numerous rivals are close behind and declaring war. They don't even have enough time to spare thinking about an anime!

In Bakuman. 3rd Season, Muto Ashirogi must find a way to stay atop the colossal mountain known as the Shounen Jack rankings. With new problems and new assistants, the pair continue to strive for their dream.

[Written by MAL Rewrite]"
Dr. Stone: Science Future Part 2,8.52,"Jul 10, 2025 to Sep 25, 2025","['Adventure', 'Comedy']",Manga,TV,12,PG-13 - Teens 13 or older,#152,#1286,"218,222",869,https://myanimelist.net/images/anime/1785/151710.jpg,"After a strategic maneuver, Senkuu Ishigami's team stalls Dr. Xeno's more scientifically advanced forces. A ceasefire between the two factions allows for the establishment of Corn City in North America, a hope for a future thriving population. Meanwhile, Senkuu and some of his teammates rush toward the Amazon in South America—the epicenter of the petrification beam's impact—to create Superalloy City and progress their spaceship project.

With dangerous enemies still pursuing Senkuu and his companions, it is a race against time to reach the heart of the dense Amazon. As unexpected allies and scientific creations further fuel this leg of their journey, Senkuu is closer than ever to finally uncovering the mystery behind the petrification phenomenon.

[Written by MAL Rewrite]"
Gintama Movie 1: Shinyaku Benizakura-hen,8.52,"Apr 24, 2010","['Action', 'Comedy', 'Sci-Fi']",Manga,Movie,1,R - 17+ (violence & profanity),#153,#1550,"177,269",639,https://myanimelist.net/images/anime/4/28803.jpg,"Gintoki and his Yorozuya friends (or rather, employees suffering under labor violations), Shinpachi and Kagura, continue to scrape by in the futuristic, alien-infested city of Edo. They take on whatever work they can find while trying not to get involved in anything too dangerous. But when Katsura, the leader of the Joui rebels and Gintoki's long-time acquaintance, disappears after being brutally attacked by an unknown assassin, Shinpachi and Kagura begin an investigation into his whereabouts and the identity of the assailant. Meanwhile, Gintoki takes on a seemingly unrelated job: the blacksmith Tetsuya requests that Gin recover a strange and powerful sword called the Benizakura which was recently stolen.

As the two investigations gradually intersect, the Yorozuya crew find themselves in the midst of a major conspiracy that hinges on the sinister nature of the Benizakura sword. Gintoki resolves to take the fight directly to the enemy headquarters, and together with a few unexpected allies, sets out on one of his most perilous jobs yet.

[Written by MAL Rewrite]"
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52,"Jan 1, 2004 to Jan 8, 2005","['Mystery', 'Sci-Fi']",Manga,TV,26,R - 17+ (violence & profanity),#154,#1171,"241,722","3,286",https://myanimelist.net/images/anime/1646/135390.jpg,"Following the closure of the ""Laughing Man"" case, Section 9 is re-established by Japan's newly elected Prime Minister, Youko Kayabuki, to combat the persistent threat of cyber-terrorism.

A group calling themselves ""The Individual Eleven"" has begun committing acts of terror across Japan. While Motoko Kusanagi, Daisuke Aramaki, Batou, and the other members of Section 9 investigate this new menace, the Japanese government faces a separate crisis, as foreign refugees displaced by the Third World War seek asylum in Japan. But as the members of the special-ops team continually encounter Gouda Kazundo—a leading member of the Cabinet Intelligence Service—in their hunt, they begin to suspect that he may be involved, and that the events of the refugee crisis and The Individual Eleven may be more connected than they realize...

[Written by MAL Rewrite]"
Samurai Champloo,8.52,"May 20, 2004 to Mar 19, 2005","['Action', 'Adventure', 'Comedy']",Original,TV,26,R - 17+ (violence & profanity),#155,#112,"1,347,180","41,061",https://myanimelist.net/images/anime/1370/135212.jpg,"Fuu Kasumi is a young and clumsy waitress who spends her days peacefully working in a small teahouse. That is, until she accidentally spills a drink all over one of her customers! With a group of samurai now incessantly harassing her, Fuu desperately calls upon another samurai in the shop, Mugen, who quickly defeats them with his wild fighting technique, utilizing movements reminiscent to that of breakdancing. Unfortunately, Mugen decides to pick a fight with the unwilling ronin Jin, who wields a more precise and traditional style of swordfighting, and the latter proves to be a formidable opponent. The only problem is, they end up destroying the entire shop as well as accidentally killing the local magistrate's son.

For their crime, the two samurai are captured and set to be executed. However, they are rescued by Fuu, who hires the duo as her bodyguards. Though she no longer has a place to return to, the former waitress wishes to find a certain samurai who smells of sunflowers and enlists the help of the now exonerated pair to do so. Despite initially disapproving of this idea, the two eventually agree to assist the girl in her quest; thus, the trio embark upon an adventure to find this mysterious warrior—that is, if Fuu can keep Mugen and Jin from killing each other.

Set in an alternate Edo Period of Japan, Samurai Champloo follows the journey of these three eccentric individuals in an epic quest full of action, comedy, and dynamic sword fighting, all set to the beat of a unique hip-hop infused soundtrack.

[Written by MAL Rewrite]"
[Oshi no Ko] 2nd Season,8.52,"Jul 3, 2024 to Oct 6, 2024",['Drama'],Manga,TV,13,PG-13 - Teens 13 or older,#156,#496,"513,174","6,079",https://myanimelist.net/images/anime/1006/143302.jpg,"With the help of producer Masaya Kaburagi, Aquamarine ""Aqua"" Hoshino and Kana Arima have landed the roles of Touki and Tsurugi in Lala Lai Theatrical Company's stage adaptation of the popular manga series Tokyo Blade. Co-starring with them is Aqua's girlfriend, Akane Kurokawa, who plays Touki's fiancée, Princess Saya. Due to the fanbase preferring Tsurugi as Touki's love interest, Saya has made fewer and fewer appearances in the manga, making it difficult for Akane to fully immerse herself in the role. Her struggles are compounded by differences between the play's script and the original work—differences that also frustrate Tokyo Blade's author, Abiko Samejima.

Aqua, however, is more concerned with his personal goals than he is with the play. He has only one objective in mind: to grow closer to director Toshirou Kindaichi and find out what he knows about Aqua's mother, Ai.

[Written by MAL Rewrite]"
Gintama. Porori-hen,8.51,"Oct 2, 2017 to Dec 25, 2017","['Action', 'Comedy', 'Sci-Fi']",Manga,TV,13,PG-13 - Teens 13 or older,#157,#1262,"221,930",961,https://myanimelist.net/images/anime/11/88325.jpg,"Following the grim events of Iga, Kokujou Island, Rakuyou, and multiple fruitless confrontations with the Tenshouin Naraku and Tendoshuu, Gintama. Porori-hen takes its viewers on a trip down memory lane to when Yorozuya were mostly doing what they did best—odd jobs. The great space hunter Umibouzu has returned to Edo and is livid when he finds out that his daughter Kagura has a boyfriend. He blames Gintoki for being an incompetent guardian, but has the time finally come for him to let go of his daughter?

Back with shameless parodies, risqué humor, and lively camaraderie, Gintoki, Kagura, and Shinpachi are faced with unforeseen situations that manage to be both hilarious and emotionally stirring.

[Written by MAL Rewrite]"
Given Movie 3: Umi e,8.51,"Sep 20, 2024","['Boys Love', 'Drama']",Manga,Movie,1,PG-13 - Teens 13 or older,#158,#4623,"30,593",172,https://myanimelist.net/images/anime/1663/144261.jpg,Second part of Given Movie: Hiiragi Mix.
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.51,"Dec 1, 2022","['Action', 'Adventure']",Manga,ONA,14,R - 17+ (violence & profanity),#159,#918,"304,194","3,523",https://myanimelist.net/images/anime/1233/128920.jpg,"After finally escaping the confines of Green Dolphin Street Jail, Jolyne Kuujou—alongside her companions Ermes Costello and Emporio Alniño—pursues the villainous priest Enrico Pucci across the state of Florida. Jolyne's allies, Weather Report and Narciso Anasui, struggle to catch up with her in order to help bring an end to Pucci's plot. As both parties pursue the priest, they must battle against Pucci's band of enemy Stand users.

While Jolyne's comrades fight for their lives, Pucci races to the Kennedy Space Center. There he hopes to enact his ultimate goal, one he believes God has entrusted to him. He aims to fulfill the will of the Joestars' blood enemy Dio Brando and—by robbing humanity of free will and making them slaves to fate—to create a world where all humans are blissfully happy.

Unable to rely on the aid of her comatose father Joutarou, Jolyne must weaponize all she has learned in prison to confront Pucci in a climactic battle while the world itself hangs in the balance.

[Written by MAL Rewrite]"
Jujutsu Kaisen,8.51,"Oct 3, 2020 to Mar 27, 2021","['Action', 'Award Winning', 'Supernatural']",Manga,TV,24,R - 17+ (violence & profanity),#160,#12,"3,014,480","95,972",https://myanimelist.net/images/anime/1171/109222.jpg,"Idly indulging in baseless paranormal activities with the Occult Club, high schooler Yuuji Itadori spends his days at either the clubroom or the hospital, where he visits his bedridden grandfather. However, this leisurely lifestyle soon takes a turn for the strange when he unknowingly encounters a cursed item. Triggering a chain of supernatural occurrences, Yuuji finds himself suddenly thrust into the world of Curses—dreadful beings formed from human malice and negativity—after swallowing the said item, revealed to be a finger belonging to the demon Sukuna Ryoumen, the King of Curses.

Yuuji experiences first-hand the threat these Curses pose to society as he discovers his own newfound powers. Introduced to the Tokyo Prefectural Jujutsu High School, he begins to walk down a path from which he cannot return—the path of a Jujutsu sorcerer.

[Written by MAL Rewrite]"
Fruits Basket: The Final,8.94,"Apr 6, 2021 to Jun 29, 2021","['Drama', 'Romance', 'Supernatural']",Manga,TV,13,PG-13 - Teens 13 or older,#17,#443,"560,836","21,319",https://myanimelist.net/images/anime/1085/114792.jpg,"Hundreds of years ago, the Chinese zodiac spirits and their god swore to stay together eternally. United by this promise, the possessed members of the Souma family shall always return to each other under any circumstances. Yet, when these bonds shackle them from freedom, it becomes an undesirable burden—a curse. As head of the clan, Akito is convinced that he shares a special connection with the other Soumas. While he desperately clings to this fantasy, the rest of the family remains isolated and suppressed by the fear of punishment.

Tooru Honda, who has grown attached to the Soumas, is determined to break the chains that bind them. Her companionship with the family and her friends encourages her to move forward with lifting the curse. However, due to confounding revelations, she struggles to find the tenacity to continue her endeavors. With time slowly withering away, Tooru contends with an uncertain future in hopes of reaching the tranquility that may lie beyond all this commotion.

[Written by MAL Rewrite]"
Kara no Kyoukai Movie 5: Mujun Rasen,8.51,"Aug 16, 2008","['Action', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Suspense']",Light novel,Movie,1,R - 17+ (violence & profanity),#161,#1103,"253,662","4,706",https://myanimelist.net/images/anime/4/75851.jpg,"In November 1998, a double homicide occurs at the newly constructed Ogawa apartment complex in the heart of Mifune City. The murderer, Tomoe Enjou, has fled in a panic. To his astonishment, he is not pursued by the police and news of the incident has not been reported through media outlets. After Shiki Ryougi defends Tomoe from a group of thugs, she allows him to use her residence as a hideout. However, a few days later, Tomoe is shaken to discover that his mother is alive, even though he is convinced that he killed her.

Coincidentally, Mikiya Kokutou is investigating a tip that his associate Touko Aozaki receives regarding the murder at the unique apartment complex. As he uncovers more information about the incident, Mikiya takes a particular interest in Tomoe. Deciding to investigate him further, Mikiya soon discovers the disturbing truth of the foreboding Ogawa complex.

The fifth installment of the Kara no Kyoukai film series, Mujun Rasen combines an intricately constructed mystery with established themes and characters to produce a dark, thought-provoking story.

[Written by MAL Rewrite]"
Prism Rondo,8.51,"Jan 15, 2026","['Drama', 'Romance']",Original,ONA,20,PG-13 - Teens 13 or older,#162,#3493,"52,409",940,https://myanimelist.net/images/anime/1862/153881.jpg,"In early-1900s London, Lili Ichijouin, a Japanese exchange student travels to England to enroll in the prestigious Saint Thomas Art Academy. Determined to become a painter, she arrives under pressure: her parents expect her to rise to the top of her class within six months or return home.

Lili's drive intensifies when she encounters Kit Church, a gifted aristocratic student known for his talent and detachment. While Kit has devoted himself entirely to painting, Lili's sincerity and resilience begin to shift something in him. The two share little beyond their love for art, yet their relationship quickly becomes central to life at the academy.

(Source: Netflix, edited)"
Grand Blue Season 2,8.50,"Jul 8, 2025 to Sep 23, 2025",['Comedy'],Manga,TV,12,PG-13 - Teens 13 or older,#163,#1417,"195,432","1,294",https://myanimelist.net/images/anime/1108/150583.jpg,"Three months have passed since Iori Kitahara began living above Grand Blue, his uncle's scuba diving shop, and joined his university's Diving Club. Alongside the other members, he has spent his days drinking and recklessly having fun. However, when Iori's sister, Shiori, hears about his behavior, she decides to take matters into her own hands—and bring him back home to make him take over their family's inn.

Despite her best efforts, Shiori temporarily gives up as she sees how Iori has grown attached to Grand Blue and his friends. As Iori and the rest of the Diving Club continue to party like there is no tomorrow, they end up in all kinds of bizarrely amusing situations, still somehow managing to hone their scuba diving skills!

[Written by MAL Rewrite]"
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,"Apr 2, 2016 to Dec 24, 2016","['Action', 'Adventure']",Manga,TV,39,R - 17+ (violence & profanity),#164,#129,"1,264,537","43,515",https://myanimelist.net/images/anime/3/79156.jpg,"The year is 1999. Morioh, a normally quiet and peaceful town, has recently become a hotbed of strange activity. Joutarou Kuujou, now a marine biologist, heads to the mysterious town to meet Jousuke Higashikata. While the two may seem like strangers at first, Jousuke is actually the illegitimate child of Joutarou's grandfather, Joseph Joestar. When they meet, Joutarou realizes that he may have more in common with Jousuke than just a blood relation.

Along with the mild-mannered Kouichi Hirose and the boisterous Okuyasu Nijimura, the group dedicates themselves to investigating recent disappearances and other suspicious occurrences within Morioh. Aided by the power of Stands, the four men will encounter danger at every street corner, as it is up to them to unravel the town's secrets, before another occurs.

[Written by MAL Rewrite]"
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.50,"Oct 26, 2013","['Award Winning', 'Drama', 'Suspense']",Original,Movie,1,PG-13 - Teens 13 or older,#165,#642,"419,910","9,729",https://myanimelist.net/images/anime/5/54231.jpg,"The young girls of Mitakihara happily live their lives, occasionally fighting off evil, but otherwise going about their peaceful, everyday routines. However, Homura Akemi feels that something is wrong with this unusually pleasant atmosphere—though the others remain oblivious, she can't help but suspect that there is more to what is going on than meets the eye: someone who should not exist is currently present to join in on their activities.

Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari follows Homura in her struggle to uncover the painful truth behind the mysterious circumstances, as she selfishly and desperately fights for the sake of her undying love in this despair-ridden conclusion to the story of five magical girls.

[Written by MAL Rewrite]"
Sora yori mo Tooi Basho,8.50,"Jan 2, 2018 to Mar 27, 2018","['Adventure', 'Comedy', 'Drama']",Original,TV,13,PG-13 - Teens 13 or older,#166,#455,"552,356","14,802",https://myanimelist.net/images/anime/6/89879.jpg,"Filled with an overwhelming sense of wonder for the world around her, Mari Tamaki has always dreamt of what lies beyond the reaches of the universe. However, despite harboring such large aspirations on the inside, her fear of the unknown and anxiety over her own possible limitations have always held her back from chasing them. But now, in her second year of high school, Mari is more determined than ever to not let any more of her youth go to waste. Still, her fear continues to prevent her from taking that ambitious step forward—that is, until she has a chance encounter with a girl who has grand dreams of her own.

Spurred by her mother's disappearance, Shirase Kobuchizawa has been working hard to fund her trip to Antarctica. Despite facing doubt and ridicule from virtually everyone, Shirase is determined to embark on this expedition to search for her mother in a place further than the universe itself. Inspired by Shirase's resolve, Mari jumps at the chance to join her. Soon, their efforts attract the attention of the bubbly Hinata Miyake, who is eager to stand out, and Yuzuki Shiraishi, a polite girl from a high class background. Together, the four spirited girls set sail toward the frozen south, all in search of something great.

[Written by MAL Rewrite]"
Tian Guan Cifu Short Films,8.50,"Feb 12, 2025 to ?","['Action', 'Adventure', 'Drama', 'Fantasy']",Web novel,ONA,Unknown,PG-13 - Teens 13 or older,#167,#6888,"11,343",173,https://myanimelist.net/images/anime/1174/149943.jpg,"A series of short films.

Short film #1: Xie Lian and Hua Cheng's first encounter.

Short film #2: Xie Lian and Hua Cheng enjoy the Lantern Festival at the Ghost Market.

Short film #3: Xie Lian and Hua Cheng are underwater then they return to Ghost City."
Yuru Camp△ Season 2,8.50,"Jan 7, 2021 to Apr 1, 2021",['Slice of Life'],Manga,TV,13,PG-13 - Teens 13 or older,#168,#1106,"253,235","3,194",https://myanimelist.net/images/anime/1255/110636.jpg,"Having spent Christmas camping with her new friends, Rin Shima embarks on a solo-camping trip to see the New Year sunrise by the sea. All goes according to plan until unforeseen weather blocks the roads back home, making a return trip impossible. Rin, who is now stranded for a few days, is invited by Nadeshiko Kagamihara to stay at her grandmother's house. 

What is supposed to be a two-day trip becomes an extended period of sightseeing and new experiences for Rin, and she encounters some new and old faces along the way. Yuru Camp△ Season 2 continues the story of Rin, Nadeshiko, and their friends as they further explore the joys of camping.

[Written by MAL Rewrite]"
Chou Kaguya-hime!,8.49,"Jan 22, 2026","['Action', 'Sci-Fi', 'Supernatural']",Original,ONA,1,PG-13 - Teens 13 or older,#169,#2709,"81,981","1,905",https://myanimelist.net/images/anime/1758/153953.jpg,"Tsukuyomi is a virtual realm where hopes and dreams come together. Iroha Sakayori, a 17-year-old high school student in Tokyo, leads an extremely busy life trying to balance part-time work and academics. She finds peace by watching a popular streamer named Yachiyo Runami, who is the administrator of an online virtual space called Tsukuyomi.

Iroha frequents Tsukuyomi, where people can live different lives and freely pursue their creativity, and she passes the time by supporting Yachiyo and playing battle games to earn a little extra money. On her way home one day, Iroha finds a telephone pole shining with iridescent hues. To her surprise, an adorable baby emerges from the pole. Unable to abandon it, Iroha takes the infant home and watches her rapidly grow into a girl her own age.

""Are you Princess Kaguya?""

The grown-up Kaguya develops a self-indulgent personality. At Kaguya's fervent request, Iroha helps her start streaming in Tsukuyomi. With Iroha as producer and songwriter and Kaguya as streamer and singer, the two grow steadily closer. Little do they know that ominous forces lie in wait, eager to take Kaguya back to the moon.

This is the tale of Princess Kaguya as never seen before.

(Source: Netflix, edited)"
Mob Psycho 100,8.49,"Jul 11, 2016 to Sep 27, 2016","['Action', 'Comedy', 'Supernatural']",Web manga,TV,12,PG-13 - Teens 13 or older,#170,#27,"2,310,431","54,256",https://myanimelist.net/images/anime/8/80356.jpg,"Eighth-grader Shigeo ""Mob"" Kageyama has tapped into his inner wellspring of psychic prowess at a young age. But the power quickly proves to be a liability when he realizes the potential danger in his skills. Choosing to suppress his power, Mob's only present use for his ability is to impress his longtime crush, Tsubomi, who soon grows bored of the same tricks.

In order to effectuate control on his skills, Mob enlists himself under the wing of Arataka Reigen, a con artist claiming to be a psychic, who exploits Mob's powers for pocket change. Now, exorcising evil spirits on command has become a part of Mob's daily, monotonous life. However, the psychic energy he exerts is barely the tip of the iceberg; if his vast potential and unrestrained emotions run berserk, a cataclysmic event that would render him completely unrecognizable will be triggered. The progression toward Mob's explosion is rising and attempting to stop it is futile.

[Written by MAL Rewrite]"
Clannad: After Story,8.93,"Oct 3, 2008 to Mar 27, 2009","['Drama', 'Romance']",Visual novel,TV,24,PG-13 - Teens 13 or older,#18,#123,"1,282,753","73,909",https://myanimelist.net/images/anime/1299/110774.jpg,"Tomoya Okazaki and Nagisa Furukawa have graduated from high school, and together, they experience the emotional rollercoaster of growing up. Unable to decide on a course for his future, Tomoya learns the value of a strong work ethic and discovers the strength of Nagisa's support. Through the couple's dedication and unity of purpose, they push forward to confront their personal problems, deepen their old relationships, and create new bonds.

Time also moves on in the Illusionary World. As the plains grow cold with the approach of winter, the Illusionary Girl and the Garbage Doll are presented with a difficult situation that reveals the World's true purpose.

[Written by MAL Rewrite]"
Aria the Origination,8.48,"Jan 8, 2008 to Apr 1, 2008","['Sci-Fi', 'Slice of Life']",Manga,TV,13,G - All Ages,#171,#1847,"141,918","4,285",https://myanimelist.net/images/anime/1431/132867.jpg,"In the 24th century on the planet Aqua, three girls—Akari Mizunashi, Alice Carroll, and Aika S. Granzchesta—continue to work hard toward achieving their goal of becoming Prima Undines: professional tour guide gondoliers. Luckily, the girls have the guidance of the three best Prima Undines in Neo-Venezia—Alicia Florence, Athena Glory, and Akira E. Ferrari—who are known as the ""Water Fairies"" in honor of their skill. With their help, the young apprentices train hard and work to overcome any situations that they find themselves in.

As these three young girls experience both the joys and hardships of life, they do their best to improve as tour gondoliers in Neo-Venezia, a terraformed replica of Venice.

[Written by MAL Rewrite]"
